dataset,cluster,model,selection_method,opt_metric,n_features_selected,features_percent,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std
kr-vs-kp,C0,KNN,linear_model,log_loss,7,0.2,0.8111792926015873,0.018750298189058337,0.8194523902821317,0.01776189502924736
kr-vs-kp,C0,KNN,linear_model,log_loss,10,0.3,0.8215970664450254,0.017021534816498776,0.8294631661442006,0.016047127470046097
kr-vs-kp,C0,KNN,random,log_loss,3,0.1,0.5,0.0,0.5222159090909091,0.0010062855633715783
kr-vs-kp,C0,KNN,random,log_loss,7,0.2,0.5269121844031236,0.0065795195209916385,0.5475568181818182,0.006281428969084219
kr-vs-kp,C0,KNN,random,log_loss,10,0.3,0.5085814310491503,0.0076002202190861325,0.5300401645768025,0.007553831041142512
kr-vs-kp,C0,KNN,random_1,log_loss,3,0.1,0.5021042152022066,0.003430723642020977,0.5240918887147334,0.003466773699064993
kr-vs-kp,C0,KNN,random_1,log_loss,7,0.2,0.5953903725057625,0.009842075528985268,0.613266065830721,0.00935004261603994
kr-vs-kp,C0,KNN,random_1,log_loss,10,0.3,0.5604806511847306,0.012762469211505692,0.579162421630094,0.012556014727350934
kr-vs-kp,C0,KNN,random_2,log_loss,3,0.1,0.5089481640434301,0.006551872363587062,0.5306641849529781,0.006134692612935797
kr-vs-kp,C0,KNN,random_2,log_loss,7,0.2,0.524192520531692,0.010768461805507279,0.5450558385579937,0.010752113219621452
kr-vs-kp,C0,KNN,random_2,log_loss,10,0.3,0.6697999769295259,0.01711135022342973,0.6839851097178683,0.016689365022063078
kr-vs-kp,C0,KNN,random_3,log_loss,3,0.1,0.5153874269005848,0.008303240192696038,0.5369239811912225,0.007717190507961309
kr-vs-kp,C0,KNN,random_3,log_loss,7,0.2,0.5787274522163104,0.011779037309941853,0.5973128918495297,0.0113670458157269
kr-vs-kp,C0,KNN,random_3,log_loss,10,0.3,0.6069451899041759,0.017399366790206948,0.6232680250783699,0.01760674507939329
kr-vs-kp,C0,KNN,random_4,log_loss,3,0.1,0.5026186790505676,0.0030041140686622317,0.524717868338558,0.003105762200561463
kr-vs-kp,C0,KNN,random_4,log_loss,7,0.2,0.5801146803400423,0.016219416864575644,0.5985609326018808,0.015581955286341636
kr-vs-kp,C0,KNN,random_4,log_loss,10,0.3,0.5589440816974727,0.015211407618101726,0.5782170846394984,0.014972257661913641
kr-vs-kp,C0,LR,attention,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,LR,attention,log_loss,7,0.2,0.9414049958756813,0.013568610360919732,0.9424392633228841,0.013950070125034263
kr-vs-kp,C0,LR,attention,log_loss,10,0.3,0.9440193749606486,0.013190292996190737,0.9449412225705329,0.013563797561528191
kr-vs-kp,C0,LR,decision_tree,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,LR,decision_tree,log_loss,7,0.2,0.9370932375553765,0.012666892930271914,0.9383718652037618,0.013048296791425343
kr-vs-kp,C0,LR,decision_tree,log_loss,10,0.3,0.9502326321408185,0.011551719786243815,0.9505701410658307,0.012024323499009776
kr-vs-kp,C0,LR,f_classif,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,LR,f_classif,log_loss,7,0.2,0.9399269792567004,0.012607550860321901,0.9411863244514107,0.012953873892396986
kr-vs-kp,C0,LR,f_classif,log_loss,10,0.3,0.941775224433945,0.013673274791243903,0.9424314263322884,0.013899270079501492
kr-vs-kp,C0,LR,linear_model,log_loss,3,0.1,0.9010957150565145,0.010673834703929895,0.9042633228840126,0.010673260993969948
kr-vs-kp,C0,LR,linear_model,log_loss,7,0.2,0.9393281768614908,0.012874615733027147,0.9405613244514107,0.013215856196351372
kr-vs-kp,C0,LR,linear_model,log_loss,10,0.3,0.9422987063906678,0.01603152203960341,0.9430613244514106,0.016374143882703227
kr-vs-kp,C0,LR,random,log_loss,3,0.1,0.6094900212878234,0.027286031657582952,0.6207592084639498,0.02695779820728783
kr-vs-kp,C0,LR,random,log_loss,7,0.2,0.7050084963796157,0.0277598842623459,0.6980789576802507,0.028530433279502797
kr-vs-kp,C0,LR,random,log_loss,10,0.3,0.7107626093071048,0.02886956586383919,0.7158728448275863,0.028485902570916505
kr-vs-kp,C0,LR,random_1,log_loss,3,0.1,0.5196493597844162,0.008446037816139364,0.5400450626959248,0.00808573009467789
kr-vs-kp,C0,LR,random_1,log_loss,7,0.2,0.590031250552968,0.02937204128605296,0.5938587382445142,0.029731415569044854
kr-vs-kp,C0,LR,random_1,log_loss,10,0.3,0.5904605041350276,0.013819922176298119,0.5938704937304076,0.013704754114518415
kr-vs-kp,C0,LR,random_2,log_loss,3,0.1,0.541371692004604,0.03300759962792168,0.5465869905956112,0.03287069485475319
kr-vs-kp,C0,LR,random_2,log_loss,7,0.2,0.7031997605681373,0.020374796886087475,0.7065174373040752,0.020686464268673162
